order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD094713,ID1492145844,3/01/2019,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('pearTV', 1), ('Alcon 10', 1)]",18670,70.61,-37.813247,144.9513724,25,14073.11,Summer,False,0.3838,great for mom its inside an owlhead in her jacuzzi,True
ORD024585,ID2173272382,18/05/2019,Thompson,"[('pearTV', 1), ('Candle Inferno', 2), ('Universe Note', 2)]",14070,64.91,-37.8189,144.9538423,25,10617.41,Winter,True,0.9139,nan,True
ORD425942,ID0287629321,1/07/2019,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 1), ('Candle Inferno', 2), ('Universe Note', 1)]",9985,59.44,-37.8048778,144.9515427,0,10044.44,Summer,False,0.9528,"i bought an thunder line that had been refurbished but its stops whatever function its performing quite often, doesn't wake up every time, randomly turns on but does nothing. do not buy a refurbished thunder line.",False
ORD229870,ID1463656474,20/04/2019,Thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('Candle Inferno', 1)]",25230,73.96,-37.8158673,144.9996422,15,21519.46,Spring,False,0.76,like i like,True
ORD470828,ID0591435980,22/01/2019,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Olivia x460', 1)]",10295,79.37,-37.8185513,144.9657084,0,10374.37,Autumn,True,0.3379,"the best cell phone ever i use the olivia s9 +, but when i tried the pocophone i really fell in love. it's just fast and the facial unlocking is instant. the equipment is highly customizable and for its price there is nothing better to date. the best purchase i've made so far.",True
ORD187905,ID3144992701,17/01/2019,Nickolson,"[('Universe Note', 1), ('iStream', 2)]",3750,73.74,-37.8150449,144.9886685,25,2886.24,Summer,False,0.8056,thank you ! absolutely love it. it came unlocked. and it worlds wonderfully. i would take a picture but im using it to write this review.inwas skeptical but im glad i took the chance . thanks !,True
ORD197856,ID0127588858,9/12/2019,Thompson,"[('iStream', 1), ('Alcon 10', 1)]",9100,79.87,-37.8004168,144.9449187,0,9179.87,Winter,True,1.3774,good phone the convoy is a great phone. rugged and indestructable.,True
ORD006386,ID6282174159,1/05/2019,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",28195,77.3,-37.8230804,144.9779952,0,28272.3,Winter,True,0.8948,the battery goes down super fast. it has an thunder back feed when ... arrived on time from seller. the battery goes down super fast. it has an thunder back feed when use speaker.,True
ORD243901,ID0207085804,15/11/2019,Bakers,"[('Universe Note', 1), ('pearTV', 1)]",9760,71.62,-37.8104815,145.015893,5,9343.62,Winter,False,1.8178,got this for my kid. great cheap tablet. camera aren't so good but usable. apps load quick.,True
ORD441036,ID0248746968,29/10/2019,Thompson,"[('Thunder line', 2), ('Universe Note', 1), ('Toshika 750', 1)]",12130,65.44,-37.8179312,144.9934494,10,10982.44,Autumn,False,0.931,"good quality my previous lucentrola razr m's charge port had stopped working somehow. i ordered a used but good condition and it was perfect. although after a while, the charge port on this one messed up as well. i don't know if it was me, my charger, or the lucentrola razr m, but i love this phone.",True
ORD201586,ID6167266588,16/08/2019,Nickolson,"[('Alcon 10', 2), ('iStream', 2), ('pearTV', 1)]",24510,80.48,144.9645436,-37.81084,25,18462.98,Autumn,True,0.9691,"condition ok. not excellent. this phone was supposed to be in excellent condition. the pen is broken. and the silver along the sides is all dinged up and dented. but over all phone works good, and you got me to buy something else from your site because now i have to order a new pen.",True
ORD046571,ID2894990347,31/05/2019,Thompson,"[('Candle Inferno', 2), ('Alcon 10', 2), ('Olivia x460', 2), ('pearTV', 1)]",27520,74.48,-37.8223314,144.9475823,25,20714.48,Summer,False,0.7244,very nice!  i'm impressed - wish she had more to say though.,True
ORD139318,ID1458418029,12/11/2019,Thompson,"[('Candle Inferno', 1), ('iStream', 1)]",580,69.14,-37.8197416,145.0100074,10,591.14,Autumn,True,1.6927,big disappointment i just got the phone two months ago and its no working well. giving trouble charging. i am very disappointed.,False
ORD259692,ID1681675856,24/05/2019,Bakers,"[('Universe Note', 1), ('pearTV', 2), ('Olivia x460', 2)]",18520,51.28,-37.809841,144.9763289,25,13941.28,Autumn,False,1.1423,read before you buy battery drains out very fast and it didnt have headphone. only charge and phone are the accessories,False
ORD069925,ID0224761775,6/10/2019,Bakers,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Olivia x460', 2), ('Thunder line', 1)]",9315,62.75,-37.8075181,144.9918088,15,7980.5,Winter,False,0.4083,"five stars works great, easy set up with verizon prepaid. great condition. thanks",False
ORD017588,ID3213655346,27/04/2019,Bakers,"[('Toshika 750', 1), ('pearTV', 1), ('iStream', 1)]",10780,57.56,-37.8094801,144.9479139,15,9220.56,Spring,False,0.3631,dont buy referbish screen stop working after 1 day.,False
ORD348075,ID2672310978,28/04/2019,Nickolson,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,66.45,-37.8026079,144.9877127,15,3810.7,Winter,False,0.2631,bought 2 of them great phone. great price,True
ORD180929,ID0253027647,30/05/2019,Nickolson,"[('Candle Inferno', 2), ('iStream', 2)]",1160,53.37,-37.8242904,144.945174,15,1039.37,Winter,False,1.3039,slow slow slow slow don't buy this phone. this is super slow. you touch something and wait for 7 seconds and then the phone will respond. very bad purchase.,False
