order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD053897,ID3163980133,3/01/2019,Thompson,"[('iAssist Line', 2), ('pearTV', 2)]",17070,98.98,-37.803422,144.9572014,5,16315.48,Summer,TRUE,1.3619,did the job thanks did the job thanks,1
ORD124820,ID0052452483,18/05/2019,Thompson,"[('Lucent 330S', 2), ('Universe Note', 2), ('Olivia x460', 1), ('Thunder line', 1)]",12765,66.33,-37.8048255,144.9371377,25,9640.08,Autumn,TRUE,1.2353,"delivered damaged phone delivered on time, but the screen was cracked on delivery.",0
ORD096172,ID4520380453,1/07/2019,Nickolson,"[('Thunder line', 1), ('Lucent 330S', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",10185,77.62,-37.8214388,144.9613955,5,9753.37,Winter,TRUE,0.7839,"absolutely an amazing device, very easy to setup and use",1
ORD295369,ID2143491089,20/04/2019,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Alcon 10', 2)]",26030,63.83,-37.8158555,144.9494289,5,24792.33,Autumn,TRUE,0.4106,"olivia s8+ i bought a olivia universe s8 + 64gb unlocked phone - 6.2 ""screen - international version, but when installing a different sim card it is not compatible with any network even though it is an unlocked phone with international version",0
ORD146452,ID0317729599,22/01/2019,,"[('Universe Note', 1), ('iStream', 2)]",3750,94.78,-37.8094724,144.9573036,5,3657.28,Summer,TRUE,0.968,"good for watching movies, reading books and playing games but don't expect to do much more. everything else can be a challenge and it can get laggy and once in a while it'll just shut down a program or completely reboot.",1
ORD090886,ID0846571197,17/01/2019,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('Thunder line', 2), ('iAssist Line', 2)]",10900,,-37.8183749,144.9687572,10,9896.44,Summer,TRUE,0.074,excellent phone very good phone,1
ORD292772,ID0387153040,9/12/2019,,"[('Alcon 10', 2), ('iAssist Line', 1), ('Lucent 330S', 1), ('iStream', 2)]",21655,99.6,-37.8000202,144.9485889,10,19589.1,Summer,TRUE,,this tablet is excellent i use it on the couch inthe bedroom and in the car too i simplty love it,1
ORD364167,ID0247010166,1/05/2019,,"[('Toshika 750', 1), ('Thunder line', 1), ('Olivia x460', 2)]",8950,66.18,-37.8094889,144.9679925,15,7673.68,Autumn,FALSE,,do yourself a favor. try this phone 📱 this phone is lightning fast and the size of the screen is amazing. speaker is a little tinny and there is no fingerprint sensor. but a true bargain at the current price of approximately 260,1
ORD192568,ID3810929388,15/11/2019,Bakers,"[('iAssist Line', 1), ('Universe Note', 1)]",,78.29,-37.8198821,144.9968671,25,,Spring,FALSE,1.1098,"love it, very easy to set up.love that you can request just about anything on your mind and it works on giving you useful information.",1
ORD124662,ID0628179642,29/10/2019,Thompson,"[('pearTV', 2), ('Olivia x460', 1)]",13845,81.31,-37.8128141,144.94864,5,13234.06,Spring,TRUE,0.1391,... phone for my daughter and it does not work like it should i got this phone for my daughter and it does not work like it should...at all. has alot of flaws..she is very dissappointed.. bc this was her bday gift.,0
ORD371047,ID0589481822,16/08/2019,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,77.57,-37.8205244,144.9575339,5,19419.57,Winter,TRUE,1.0783,"reqally good phone. fast, long lasting battery, really good (leica) camera. huawei interface in my opinion is much better compare to olivia. only one advise :make sure you adjust screen lock properly , or you will end up with bunch of open applications.",1
ORD489437,ID3394726304,31/05/2019,Thompson,"[('Lucent 330S', 1), ('Toshika 750', 1)]",5550,62.67,-37.814573,144.9547906,25,4225.17,Autumn,TRUE,0.7112,universe express gold 2 this is actually olivia universe express gold 2 not a j3 has label on listing,
ORD084453,ID6167191700,12/11/2019,Thompson,"[('Lucent 330S', 1), ('Alcon 10', 2)]",19130,79.78,-37.8189215,144.9548983,15,16340.28,Spring,FALSE,0.9787,"great phone in this price range. one of the best phone in this price range. well built, good camera though not the best, the battery retains for almost the entire day.",1
ORD174085,ID1463620380,24/05/2019,Bakers,"[('Toshika 750', 2), ('iAssist Line', 1), ('Olivia x460', 1)]",12090,81.21,-37.8166139,145.0057327,25,9148.71,Autumn,TRUE,1.1813,good very good,1
ORD234340,ID0576859101,6/10/2019,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 2), ('pearTV', 2), ('iStream', 2)]",16230,110.84,-37.8246285,144.9888834,5,15529.34,Spring,TRUE,1.7219,works great nice phone,1
ORD186817,ID6222911346,27/04/2019,Bakers,"[('Thunder line', 1), ('Alcon 10', 2)]",20080,69.49,-37.8122168,145.0156232,25,15129.49,Autumn,FALSE,1.8103,excellent buy great phone. has all the features i was looking for.,1
