order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD172562,ID0600326380,2019-08-10,Nickolson,"[('Universe Note', 2), ('pearTV', 2), ('Candle Inferno', 2)]",20380,69.77,-37.79890620000001,144.9726129,0,20449.77,Winter,True,2.2082,fingerprint sensor dont work on this version when i get the cellfone i noticed that the box does not have the headphones. i bought two xperia xz and both dont have the headphones. and they have to be clearer that the fingerprint sensor dont work on this version,False
ORD021085,ID2688454941,2019-09-12,Bakers,"[('Alcon 10', 1), ('Universe Note', 2), ('Lucent 330S', 2), ('iStream', 2)]",18610,102.83,-37.8175101,144.99580509999996,5,17782.33,Spring,True,0.838,great teen phones! great value! these phones are like new! perfect for teens!! thank you!!!,True
ORD228194,ID2789606898,2019-02-23,Bakers,"[('Olivia x460', 1), ('pearTV', 1)]",7535,76.29,-37.8029669,144.98318840000005,15,6481.04,Summer,False,1.3169,love this phone coming from a pixel xl and the the camera on the olivia is 1000x better. really enjoying the phone,True
ORD094308,ID0775941601,2019-12-15,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Thunder line', 2), ('Olivia x460', 1)]",10205,85.14,-37.80609370000001,144.959426,0,10290.14,Summer,True,1.3105,"only 90 day warranty from digico.com well purchasing this pixel xl while on backorder from digico.com, description read 1 year mfg warranty, but not true, its only for 90 days",False
ORD224550,ID1889485053,2019-07-30,Bakers,"[('Olivia x460', 1), ('pearTV', 1)]",7535,99.07,-37.8158343,145.04645,15,6503.82,Winter,True,4.5509,great phone for the price really awesome phone with great camera and slick design. only big issue i have with it is the lack of audio jack,True
ORD086496,ID3218293542,2019-05-03,Thompson,"[('Olivia x460', 1), ('Thunder line', 2), ('Universe Note', 1)]",9035,80.04,-37.80493010000001,144.9528866,5,8663.29,Autumn,True,1.0024,good stuff as expected thank you,True
ORD222802,ID0332797046,2019-08-16,Bakers,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790,75.66,-37.8095744,145.00032040000005,15,4147.16,Winter,True,0.45,"great buy nice, what i needed and wanted, a great gift to myself.",True
ORD254807,ID0282825744,2019-01-03,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('iAssist Line', 1), ('Toshika 750', 2)]",29625,78.22,-37.8024255,144.95339199999995,15,25259.47,Summer,False,1.2691,"satisfied customer great phone, fair price, excellent shipping and handling",True
ORD449121,ID0579507010,2019-10-23,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('iAssist Line', 2), ('pearTV', 1)]",29090,97.58,-37.8139659,144.94874950000005,25,21915.08,Spring,True,0.2063,five stars good value for a basic phone.,True
ORD244187,ID0387152990,2019-05-23,Thompson,"[('Universe Note', 2), ('Thunder line', 1)]",9080,115.59,-37.810586,144.9501666,10,8287.59,Autumn,True,0.358,suggested by the sales associate i'm glad i took his suggestion,True
